epoch,split,group_type,group_name,auc,model_name,seed,run_id
0,val,label,No Finding,0.8010870947102808,123353_swin_tiny,42,20260209
0,val,label,Enlarged Cardiomediastinum,0.568262776253472,123353_swin_tiny,42,20260209
0,val,label,Cardiomegaly,0.6941613217125653,123353_swin_tiny,42,20260209
0,val,label,Lung Opacity,0.6680758341295602,123353_swin_tiny,42,20260209
0,val,label,Lung Lesion,0.682003686930956,123353_swin_tiny,42,20260209
0,val,label,Edema,0.7644894609054924,123353_swin_tiny,42,20260209
0,val,label,Consolidation,0.6226622392361987,123353_swin_tiny,42,20260209
0,val,label,Pneumonia,0.662646459655883,123353_swin_tiny,42,20260209
0,val,label,Atelectasis,0.6071615620277914,123353_swin_tiny,42,20260209
0,val,label,Pneumothorax,0.7233688165490603,123353_swin_tiny,42,20260209
0,val,label,Pleural Effusion,0.7608361898943595,123353_swin_tiny,42,20260209
0,val,label,Pleural Other,0.7119337094915794,123353_swin_tiny,42,20260209
0,val,label,Fracture,0.635252678018912,123353_swin_tiny,42,20260209
0,val,label,Support Devices,0.778125818628742,123353_swin_tiny,42,20260209
0,val,gender,sex=0,0.6910530651049616,123353_swin_tiny,42,20260209
0,val,gender,sex=1,0.6909732818361888,123353_swin_tiny,42,20260209
0,val,age_bin,18-27,0.7181980695490814,123353_swin_tiny,42,20260209
0,val,age_bin,28-37,0.7196867806269237,123353_swin_tiny,42,20260209
0,val,age_bin,38-47,0.7066207905289404,123353_swin_tiny,42,20260209
0,val,age_bin,48-57,0.6908586534338983,123353_swin_tiny,42,20260209
0,val,age_bin,58-67,0.6880133199629579,123353_swin_tiny,42,20260209
0,val,age_bin,68-77,0.674929950109055,123353_swin_tiny,42,20260209
0,val,age_bin,78-87,0.6597533226869314,123353_swin_tiny,42,20260209
0,val,age_bin,88-97,0.6365399003251524,123353_swin_tiny,42,20260209
1,val,label,No Finding,0.8084727425404673,123353_swin_tiny,42,20260209
1,val,label,Enlarged Cardiomediastinum,0.5766640632469769,123353_swin_tiny,42,20260209
1,val,label,Cardiomegaly,0.7071514991807681,123353_swin_tiny,42,20260209
1,val,label,Lung Opacity,0.670861302597757,123353_swin_tiny,42,20260209
1,val,label,Lung Lesion,0.6931896735682329,123353_swin_tiny,42,20260209
1,val,label,Edema,0.7695810793463876,123353_swin_tiny,42,20260209
1,val,label,Consolidation,0.6342597761386264,123353_swin_tiny,42,20260209
1,val,label,Pneumonia,0.6836325430021508,123353_swin_tiny,42,20260209
